Date,Description,Amount
2025-05-21,HP Petrol Pump,5345.92
2025-05-20,HP Petrol Pump,3634.93
2025-05-30,Samsung Store,3799.38
2025-02-19,Croma,1566.9
2025-03-24,Big Bazaar,5315.31
2025-02-14,School Fee - DPS,7369.89
2025-07-12,Movie Ticket - PVR,4531.22
2025-07-18,Croma,8758.15
2025-05-25,H&M,6711.98
2025-02-26,Apple Store,4999.49
2025-04-06,ACT Fibernet,5014.6
2025-05-10,Tuition Fee - Maths,4510.15
2025-06-14,1mg,6053.92
2025-04-29,Airtel Broadband,836.58
2025-03-30,Tata Power Bill,2462.96
2025-08-07,LIC Premium,7790.06
2025-03-27,Pantaloons,8508.25
2025-07-29,Jio Recharge,4675.79
2025-03-27,Bangalore Water Supply,9653.13
2025-02-24,Indian Oil Petrol Pump,8941.09
2025-04-27,Uber Ride,7192.93
2025-07-10,BSES Rajdhani,4908.78
2025-07-23,Lays Chips,8623.92
2025-03-19,Home Centre,9688.4
2025-07-10,Amazon,1545.59
2025-06-14,MakeMyTrip,2461.61
2025-06-15,Samsung Store,2184.97
2025-06-16,Tata Sky,6688.51
2025-05-27,Domino's,8005.17
2025-05-01,MakeMyTrip,2621.12
2025-08-07,Charity Trust,1133.04
2025-07-07,Amazon,4164.65
2025-03-12,MakeMyTrip,7058.61
2025-06-27,Jio Recharge,4584.63
2025-03-15,Bharat Petroleum,3364.23
2025-05-23,Tuition Fee - Science,2830.63
2025-03-15,SBI General Insurance,1591.79
2025-08-03,OYO Rooms,5630.28
2025-02-17,College Fee - XYZ University,5767.46
2025-06-18,Delhi Jal Board,5376.38
2025-07-30,H&M,3514.56
2025-03-01,HDFC Home Loan,3141.61
2025-04-08,Airtel DTH,8543.17
2025-03-17,Croma,3021.32
2025-08-03,Big Bazaar,708.92
2025-07-25,Domino's,1215.35
2025-04-29,Bikanervala,3400.46
2025-05-20,Lays Chips,1853.13
2025-08-02,Pizza Hut,3661.4
2025-04-03,Tuition Fee - Maths,8904.76
2025-07-18,Disney+ Hotstar,7522.48
2025-07-02,INOX,2864.85
2025-05-17,Axis Bank Car Loan EMI,5234.35
2025-07-03,INOX,1211.61
2025-05-06,Pizza Hut,4763.04
